Column1,title,link,description
25,"전북도, 스마트팜 혁신밸리 전국 최초 준공",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202111291121047170332,"시설별 핵심기능은 스마트팜 창업보육 및 스마트팜 임대운영, 스마트팜 실증연구, <b>빅데이터</b> 수집?분석... 또한 스마트팜 실증온실과 <b>빅데이터</b> 센터를 통해 ICT 기자재 등을 개발ㆍ보급하고<b>빅데이터</b>를 인공지능(AI)으로... "
26,카카오T 택시 기사 평균연령 2.6세↓…MZ세대 늘었다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002708453,카카오모빌리티는 카카오T 이용자들의 이동 <b>빅데이터</b>를 분석한 '카카오모빌리티 리포트 2021'을 발간했다고 29일 밝혔다. 리포트를 보면 올해 카카오T 택시 신규 가입 기사의 평균연령은 55.5세로 4년 만에 2.6세가... 
27,"닥터제이코스, '2021 피부·유전체 분석 사업 결과 세미나'서 태국 맞춤 제품...",http://www.thefirstmedia.net/news/articleView.html?idxno=84922,'대한화장품산업연구원'이 주관하는 '2021 국가별 피부특성 제품 개발 가이드 구축 사업' 일환으로 태국 소비자 피부특성 연구를 통해 <b>빅데이터</b> 바탕의 맞춤형 제품개발 가이드를 구축했다. 닥터제이코스는 고온다습한... 
28,"베스핀글로벌-인포인, ‘메타버스 플랫폼 개발’ 협력 MOU 체결",https://www.venturesquare.net/843677,양사는 클라우드와 메타버스 분야에서 보유하고 있는 각자의 전문성을 적극 협력하여 상호 시너지를 창출해 급변하는 스마트 시티 및 <b>빅데이터</b> 산업 분야에 능동적으로 대응하고 비즈니스를 추진하기 위해 이번 업무... 
29,"카카오T 택시, 단거리 배차 성공률 73.7%…2년새 9.1%↑",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010859419,"카카오모빌리티는 29일 카카오 T 이용자들의 이동 <b>빅데이터</b>를 분석한 '카카오모빌리티 리포트 2021'을... MaaS 플랫폼은 데이터에 기반한 최적의 이동이 일상화된 도시를 만들고, 나아가 물리적 이동 없이 사물과... "
30,세아홀딩스 '산업디지털전환' 산업부 장관상 수상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004747035,<b>데이터</b> 등 해당 전문가들로 구성된 조직인 '디지털혁신팀'을 운영해 주력 계열사들의 스마트 팩토리 프로젝트를 주도적으로 진행해 왔다. 실제로 세아홀딩스는 강종 특성에 따라 마찰 시 발생하는 스파크 형태를 <b>데이터</b>... 
31,"서부경남 미래 담은 발전전략, 연말 나온다",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010859397,"<b>빅데이터</b> 기반 AI 천연물 소재 생산 지원 플랫폼 구축 등이 담겨질 예정이다. 서부경남을 경남혁신도시 중심으로 선순환적 생태계를 구축하고, 부울경 메가시티와 연계하는 방안을 담아 서부경남 전역을 효과적으로... "
32,"항생제 처방군, 미사용군보다 당뇨병 발생 16% 높아",http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1144277&REFERER=NP,"서울대병원 가정의학과 박상민 교수팀(박선재, 박영준 연구원)은 29일 국민건강보험 <b>빅 데이터</b>를 활용해 40세 이상 성인 20만 1495명을 14년간 추적 관찰한 결과를 발표했다. 표본 나이와 성별 등 연구통계학적 특성과... "
33,"[댓글종합순위] 영탁 107회째 1위, 2위 방탄소년단 지민에 4157개 앞서…3위 ...",http://www.topstarnews.net/news/articleView.html?idxno=14653472,"또한 기사 댓글 통계는 <b>빅데이터</b> 가수 브랜드가치 분석에 5배수로 가중 적용된다. 댓글 뉴스 집계에... 유의미한 데이터다. 한편, 글로벌 브랜드 밸류가 가장 높은 트로트 여왕은?이란 질문의 스타서베이에서... "
34,"세아홀딩스, '대한민국 기술사업화대전' 산업통상자원부 장관상 수상",http://www.snmnews.com/news/articleView.html?idxno=486385,"세아홀딩스는 2018년부터 디지털 기술을 적용한 공정 솔루션 구축을 위해 IOT, <b>빅데이터</b> 등 해당 전문가들로... 실제로, 세아홀딩스는 강종 특성에 따라 마찰 시 발생하는 스파크 형태를 데이터로 변환시켜 머신비전... "
35,"코로나 시대, 디지털 마케팅으로 세계 시장 두드리자",http://www.worktoday.co.kr/news/articleView.html?idxno=20362,"류재원 KOTRA 무역투자데이터본부장은 경영환경의 '데이터' 중심 디지털화에 발맞춰, KOTRA가 우리 기업의 글로벌 마케팅을 지원하기 위해 도입한 지능형 무역투자 <b>빅데이터</b> 플랫폼 '트라이빅(TriBIG)', B2B 온라인 플랫폼... "
36,"경기도, 공공부문 휴게시설 170개소 개선…&quot;노동자 휴게권 보장 선두&quot;",http://www.thebigdata.co.kr/view.php?ud=20211129121744197091b8960534_23,"수원시 등 12개 시군은 비좁은 청사 여건에도 12개의 휴게소를 새로 만들었고, 환기시설 등 전반적인 시설개선을 한 곳은 157곳이나 됐다. 안성시는 지하에 있던 휴게소를 지상으로 이전했다. 김수아 <b>빅데이터</b>뉴스 기자"
37,"엘젠아이씨티-명지전문대, AI 인재 육성 나서",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002984671,회사 솔루션은 △AI 챗봇 △AI 음성·영상 △AI 안면인식 △스마트 키오스크 △가상상담 콜봇 △<b>빅데이터</b> 분석 플랫폼 XEN △AI 농기계 공유서비스 △AI 노트 △AI 회의록 등 산업계 전반에 적용할 수 있는 최적 제품이다.... 
38,"한수원, 설비 자동예측진단 기술 상품화 추진",http://www.enewstoday.co.kr/news/articleView.html?idxno=1530198,"한국수력원자력은 세계 최대 규모의 <b>빅데이터</b>·인공지능 기반 설비 자동예측진단시스템의 상품화에... 이 모델을 활용한 <b>빅데이터</b>·인공지능 기반 자동예측진단시스템은 설비의 이상 징후를 사전에 탐지, 진단해... "
39,"경남도, 서부경남 발전 전략·성과확산 연구용역 연내 완료",https://www.asiatoday.co.kr/view.php?key=20211129010016898,<b>빅데이터</b> 기반 AI천연물 소재 생산지원 플랫폼 구축 등이 담겨질 예정이다.서부경남을 경남혁신도시 중심으로 선순환적 생태계를 구축하고 부울경 메가시티와 연계하는 방안을 담아 서부경남 전역을 효과적으로... 
40,전북대 인수공통전염병연구소 “만반의 감염병 준비체제 갖출 터”,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002984663,감염성 질환 관련 <b>빅데이터</b>를 추출하는 장비를 갖추는 등 장비를 늘려 국내 바이오 및 제약분야에서 우리나라 기초역량을 크게 높이는 기반을 마련하겠다는 각오다. 어 소장은 “새로운 전염병은 언제 어디서나 발생할... 
41,"의정부시, 시민 우선 지방세 납부 서비스 실시",http://www.weeklytoday.com/news/articleView.html?idxno=431294,"▲ 의정부시청  의정부시는 인공지능, <b>빅데이터</b>, 사물인터넷 기술이 보편화되는 4차 산업혁명 시대에 시민이 편리하게 이용 가능한 납세환경 조성을 위해 스마트폰 일대일 지방세 채팅 상담부터 전자고지서, 간편 납부... "
42,"메타버스는 새로운 인터넷...범죄, 폭력 발생 예방장치 마련돼야",http://www.wsobi.com/news/articleView.html?idxno=147199,"한국콘텐츠진흥원(KOCCA)의 '<b>빅데이터</b>로 살펴본 메타버스 세계' 연구서에 따르면 최근 코로나19 이후 늘어나고... <b>빅데이터</b>, 사물인터넷 등 4차 산업혁명 제페토, 카카오-블록체인 등으로 변화하고 있다. 메타버스와 관련된... "
43,"신한은행·성프란치스꼬장애인종합복지관, '사랑의 김장 나눔' 기부금 전달",http://www.thebigdata.co.kr/view.php?ud=20211129114019266691b8960534_23,성프란치스꼬장애인종합복지관은 사회적 기업 ‘행복나누는 사람들(복사골 김치)’을 통해 양질의 김장 김치를 구입해 24일부터 3일간 구로구 내 저소득 여성 장애인과 어르신에게 전달했다. 안여진 <b>빅데이터</b>뉴스 기자
44,"코트라, 디지털 마케팅 통한 해외시장 진출 지원",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010859371,"류재원 코트라 무역투자데이터본부장은 경영환경의 데이터 중심 디지털화에 맞춰 코트라가 도입한 지능형 무역투자 <b>빅데이터</b> 플랫폼 '트라이빅(TriBIG)', B2B(기업 간 거래) 온라인 플랫폼 '바이코리아(buyKOREA)' 등... "
45,"전남도 지방세 체납액 줄이기 평가 '여수시, 최우수상' 영예",http://www.newsworker.co.kr/news/articleView.html?idxno=138283,"시는 지방세 체납액 줄이기 일제기간을 설정 운영해 <b>빅데이터</b>를 활용한 맞춤형 징수, 체납차량 번호판 영치 및 공매처분, 가상화폐 압류 등 체납액 징수활동을 추진해 정리목표액 39억 8300만 원 대비 51억 300만 원을... "
46,"샤이니 온유·민호, ‘팬투’ 투표서 40.35% 득표율로 12월 아티스트 선정",http://www.thebigdata.co.kr/view.php?ud=2021112911354415536cf2d78c68_23,"소식을 접한 팬들은 “독뱀즈 축하해!”, “다음주 놀토 본방사수!”, “키 출연 놀토에 온유민호 광고라니 이건 봐야 해”, 등의 반응을 보이며 이들의 생일을 축하했다. 이병학 <b>빅데이터</b>뉴스 기자"
47,"국립생태원,'생태 <b>빅데이터</b>의 현재와 미래'주제로 학술대회 개최",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=635376,"충남 서천군에 위치한 국립생태원은 11월 25일부터 26일까지 부산에서 열린 2021년 지오에이아이(GeoAI)데이터학회 추계학술대회를 관계기관과 함께 주관하고, 생태 <b>빅데이터</b> 분야 특별 세션을 운영했다. 충남 서천군에... "
48,'코로나19 백신 사전예약시스템' 등 적극행정 우수사례 선정,http://www.lec.co.kr/news/articleView.html?idxno=732221,"이번 본선 심사에 앞서 순위가 가려진 5~9위 입상 사례에는 국민비서(행안부), 선별진료소 의료진 쉼터 제공(대전시), 선제적 복지서비스 발굴(사회보장정보원), <b>빅데이터</b> 기반, 관광방역체계 구축(제주관광공사) 등이... "
49,"한수원, 설비 자동예측진단 기술 상품화 추진",http://www.economytalk.kr/news/articleView.html?idxno=217606,"<b>빅데이터</b>,인공지능 기반 설비 자동예측진단시스템 '프로메테우스'의 상품화에 나선다.(사진=한수원 제공) 한국수력원자력(사장 정재훈, 이하 한수원)이 세계 최대 규모의 <b>빅데이터</b>/인공지능 기반 설비... "
50,마이<b>데이터</b> 본궤도 오르면… 금융정보 한곳서 확인·AI 투자자문 받는다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002494142,금융기관 따로 방문 불편 해소 개인 맞춤형 상품 제공도 가능 마이<b>데이터</b>(본인신용정보관리업) 서비스는... 29일 금융권에 따르면 마이<b>데이터</b> 사업이 본 궤도에 오르면 모든 금융정보를 한 곳에서 확인할 수 있게 된다.... 
51,금융업계 ‘API’ 입장차… 마이<b>데이터</b>사업 ‘반쪽’ 위기,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002494141,마이<b>데이터</b>(본인신용정보관리업) 사업의 시범서비스가 시작된다. 개인 <b>데이터</b>를 기반으로 한 맞춤형 금융상품이 출시돼 금융혁신을 이룰 것이라는 기대와는 달리 금융업권 간 접근 전략 차이로 호환성이 중시되는... 
52,"네이버클라우드, <b>데이터</b> 분석 특화 솔루션 2종 출시",http://www.it-b.co.kr/news/articleView.html?idxno=54949,네이버클라우드 클라우드 <b>데이터</b> 박스 네이버클라우드(대표 박원기)가 '클라우드 <b>데이터</b> 박스(Cloud Data Box)'와 '<b>데이터</b> 포레스트(Data Forest)' 상품을 공식 출시했다고 29일 밝혔다. 이번 <b>데이터</b> 분석 특화 솔루션 출시로... 
53,"키웨스트77, 주안복지재단에 1000만원 기부",http://www.tgdaily.co.kr/news/articleView.html?idxno=313223,"키웨스트77은 <b>빅데이터</b> 분석에 기반한 투자정보서비스를 제공하는 기업으로, 최근 카이스트와 '암호화폐 지수 특허 계약 기술이전 협약'을 완료한 블록체인 스타트업이다. [더게임스데일리 ]"
54,"보일러 브랜드평판 11월 <b>빅데이터</b> 분석결과···1위 귀뚜라미, 2위 린나이, ...",http://www.wsobi.com/news/articleView.html?idxno=147191,"<b>빅데이터</b> 분석결과 1위 귀뚜라미 보일러, 2위 린나이 보일러, 3위 경동나비엔 보일러 순으로 분석됐다. ​ 한국기업평판연구소는 국내 소비자에게 사랑받는 보일러 브랜드에 대한 브랜드 <b>빅데이터</b> 평판분석을... "
55,"가구 상장기업 브랜드평판 11월 <b>빅데이터</b> 분석결과···1위 한샘, 2위 지누스...",http://www.wsobi.com/news/articleView.html?idxno=147194,"가구 상장기업 브랜드평판 2021년 11월 <b>빅데이터</b> 분석결과 1위 한샘, 2위 지누스, 3위 에이스침대 순으로 분석됐다. ​ 한국기업평판연구소는 국내 가구 상장기업에 대한 브랜드 <b>빅데이터</b> 평판분석을... "
56,"남성화장품 브랜드평판 11월 <b>빅데이터</b> 분석결과···1위 캘빈클라인, 2위 아...",http://www.wsobi.com/news/articleView.html?idxno=147190,"<b>빅데이터</b> 분석결과 1위 캘빈클라인, 2위 아이오페, 3위 헤라 순으로 분석됐다. ​ 한국기업평판연구소는 국내 소비자에게 사랑받는 남성화장품 브랜드 40개에 대한 브랜드 <b>빅데이터</b> 평판분석을 실시했다. 2021년... "
57,"한국기업평판협회, 가구 상장기업 11월 기업평판 우수기업 발표",http://www.wsobi.com/news/articleView.html?idxno=147195,"한국기업평판연구소는 가구 상장기업 10개 브랜드에 대해 <b>빅데이터</b> 분석을 활용한 브랜드 평판조사를 실시했다. 2021년 10월 29일부터 2021년 11월 29일까지 가구 상장기업 브랜드 <b>빅데이터</b> 25,144,798개를 활용해 소비자들의... "
58,"엘리베이터 브랜드평판 11월 <b>빅데이터</b> 분석결과···1위 현대, 2위 오티스, ...",http://www.wsobi.com/news/articleView.html?idxno=147193,"<b>빅데이터</b> 분석결과 1위 현대 엘리베이터, 2위 오티스 엘리베이터, 3위 티센크루프 엘리베이터 순으로 분석됐다. ​ 한국기업평판연구소는 국내 소비자가 선호하는 엘리베이터 브랜드에 대한 브랜드 <b>빅데이터</b>... "
59,"카카오모빌리티, 카카오 T 택시의 5km 미만 단거리 배차 성공률 73.7%",http://www.onews.tv/news/articleView.html?idxno=100532,"<b>빅데이터</b>를 분석한 '카카오모빌리티 리포트 2021'을 29일 발간했다. 2017년 첫 발간 후 5회차를 맞았다. 이번... MaaS 플랫폼은 데이터에 기반한 최적의 이동이 일상화된 도시를 만들고, 나아가 물리적 이동 없이 사물과... "
60,끝없이 연결되고 진화하는 식품외식산업의 미래,http://www.farminsight.net/news/articleView.html?idxno=8345,이진성 대표와 스타벅스커피코리아 송호섭 대표의 'ESG 경영전략' △바이브컴퍼니 송길영 부사장의 '<b>빅데이터</b>를 통한 외식산업 분석' 등 국내외 식품·외식산업을 대표하는 연사들의 다채로운 강연들로 채워졌다.
61,전국 최초 전북 김제 스마트팜 혁신밸리 준공,https://www.wikitree.co.kr/articles/711255,"<b>빅데이터</b>센터(지원센터) 4개 핵심단지로 조성된 첨단농업 융복합 클러스터로서, 스마트팜 청년농업인 양성, R&amp;D연구, ICT기자재 및 신품종 실증·인증, 기술상용화, 판로구축 등 혁신 프로세스를 구축하여 <b>빅데이터</b>를... "
62,[소식]춘천·제주 등 국정목표 실천 우수사례 7건 선정,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010859316,"오는 30일 경진대회를 열어 최종 순위를 결정한다. ▶ 네이버에서 뉴시스 구독하기 ▶ K-Artprice, 유명 미술작품 가격 공개 ▶ 뉴시스 <b>빅데이터</b> MSI 주가시세표 바로가기"
63,[HotJobs100] 비즈니스피플이 엄선한 오늘의 경력직 채용-11월29일,https://www.businesspost.co.kr/BP?command=article_view&num=261776,"◆ 하나투어, 고객관계관리(CRM)기획 담당자 채용 CRM기획 부문에서 데이터분석가(Data Analyst), 알고리즘 모델링 직무를 수행할 경력사원을 각각 채용한다. 시퀄(SQL)과 파이선(Python)을 이용한 <b>빅데이터</b> 분석 경험이 있는... "
64,국정목표 실천 우수사례 7건 선정…30일 최종순위 가린다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005752481,"제주 제주시는 장년층 1인가구 고독사를 예방하기 위해 안전확인 건강음료 지원사업, <b>빅데이터</b>를 활용한 안부살핌 서비스, 자립지원프로그램 등을 운영했다. 강원 정선군은 커뮤니티 기반의 주민주도 방식으로 상인회 등... "
65,[김현주의 건강신호등]소중한 간을 지키기 위해 알아야 할 것들,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010859322,"건강보험공단의 데이터베이스를 통해 해당사항이 있는 사람에게 간암검진대상이라고 통보가 된다. 2019년... ▶ 네이버에서 뉴시스 구독하기 ▶ K-Artprice, 유명 미술작품 가격 공개 ▶ 뉴시스 <b>빅데이터</b> MSI 주가시세표... "
66,"위미르, 전자부품 업체에 실시간 모니터링 '엘라디스' 도입",http://www.businesskorea.co.kr/news/articleView.html?idxno=82441,제조 AI <b>빅데이터</b> 플랫폼 서비스 전문 기업 위미르(주)가 전자부품 업체에 실시간 모니터링 시스템 '엘라디스'를 도입했다고 29일 밝혔다. 엘라디스는 설비에 설치된 센서를 통해 제조 공정 시 설비에서 발생하는 데이터를... 
